# p27 quartic target rows
# coordinate u
# field 1847
# family dplus_h90_soluble_rowbit_u
# rows 64
1847 64
2 -1
12 -1
13 -1
23 -1
27 -1
117 1
174 1
193 1
242 -1
276 1
277 1
323 1
355 1
362 -1
413 -1
429 1
506 1
528 1
529 1
553 1
624 1
643 1
644 1
680 1
693 1
701 -1
722 -1
725 -1
728 -1
729 1
730 1
766 1
813 1
897 1
928 1
936 1
963 1
1011 1
1038 1
1050 1
1060 1
1061 1
1084 1
1157 -1
1158 -1
1235 1
1284 -1
1288 1
1331 1
1332 1
1349 1
1351 1
1353 -1
1358 -1
1438 1
1449 -1
1457 1
1473 1
1567 1
1599 1
1627 -1
1628 1
1661 1
1717 1
