# p27 quartic target rows
# coordinate B
# field 1847
# family d3_on_legalB
# rows 63
1847 63
7 1
67 1
121 1
148 1
174 1
190 1
201 1
214 -1
241 -1
276 1
283 1
297 -1
308 -1
319 -1
322 -1
334 1
351 1
359 1
412 1
449 -1
468 1
502 1
519 -1
565 1
593 -1
621 1
642 1
685 1
719 1
722 -1
766 1
812 1
856 1
906 1
982 1
993 1
1008 1
1065 1
1095 1
1130 1
1138 1
1163 -1
1174 -1
1206 1
1261 1
1330 1
1331 1
1400 1
1405 1
1408 -1
1427 1
1437 1
1506 1
1544 -1
1555 1
1563 -1
1627 -1
1660 -1
1710 -1
1732 1
1774 1
1800 1
1807 1
