# p27 quartic target rows
# coordinate lambda
# field 1847
# family d3_on_lambda
# rows 63
1847 63
102 1
110 -1
114 1
125 -1
130 1
166 1
187 -1
188 1
248 1
250 1
372 1
398 1
446 1
476 1
496 1
500 -1
524 1
562 -1
563 -1
585 1
591 -1
658 1
684 1
690 1
699 -1
714 1
740 1
744 1
747 -1
758 1
779 1
780 -1
794 1
803 1
911 1
920 -1
946 -1
989 1
991 1
1047 -1
1118 1
1161 1
1202 -1
1329 1
1390 1
1495 1
1497 1
1510 1
1523 1
1538 1
1561 1
1572 1
1641 1
1655 -1
1672 1
1673 1
1690 1
1731 -1
1799 -1
1815 1
1826 -1
1836 1
1841 1
