start_utc=2026-06-20T23:19:24Z
pod=vrpu64td6tcz7b gpu=RTX_6000_Ada rate_probe_Mps=52.646410
p=100000000000000000000000067 seed_offset=121 max_trials=550000000000 chunk_trials=1000000000
Pomerance CUDA x16halvenonsplit prototype

p = 100000000000000000000000067
seed_offset = 121
max_trials = 550000000000
chunk_trials = 1000000000
k = 44
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=1

  trials=1000000000 elapsed=18.885 rate_Mps=52.953209 claimed=1000145408
  trials=2000000000 elapsed=37.912 rate_Mps=52.753790 claimed=1000145408
  trials=3000000000 elapsed=57.021 rate_Mps=52.611739 claimed=1000145408
  trials=4000000000 elapsed=76.171 rate_Mps=52.513116 claimed=1000145408
  trials=5000000000 elapsed=95.350 rate_Mps=52.438522 claimed=1000145408
  trials=6000000000 elapsed=114.547 rate_Mps=52.380208 claimed=1000145408
  trials=7000000000 elapsed=133.767 rate_Mps=52.329648 claimed=1000145408
  trials=8000000000 elapsed=152.998 rate_Mps=52.288266 claimed=1000145408
  trials=9000000000 elapsed=172.234 rate_Mps=52.254491 claimed=1000145408
  trials=10000000000 elapsed=191.470 rate_Mps=52.227398 claimed=1000145408
  trials=11000000000 elapsed=210.708 rate_Mps=52.204918 claimed=1000145408
  trials=12000000000 elapsed=229.946 rate_Mps=52.186242 claimed=1000145408
  trials=13000000000 elapsed=249.186 rate_Mps=52.169851 claimed=1000145408
  trials=14000000000 elapsed=268.422 rate_Mps=52.156702 claimed=1000145408
  trials=15000000000 elapsed=287.660 rate_Mps=52.144925 claimed=1000145408
  trials=16000000000 elapsed=306.900 rate_Mps=52.134319 claimed=1000145408
  trials=17000000000 elapsed=326.140 rate_Mps=52.124924 claimed=1000145408
  trials=18000000000 elapsed=345.375 rate_Mps=52.117207 claimed=1000145408
  trials=19000000000 elapsed=364.613 rate_Mps=52.110030 claimed=1000145408
  trials=20000000000 elapsed=383.851 rate_Mps=52.103522 claimed=1000145408
  trials=21000000000 elapsed=403.087 rate_Mps=52.097956 claimed=1000145408
  trials=22000000000 elapsed=422.325 rate_Mps=52.092573 claimed=1000145408
  trials=23000000000 elapsed=441.562 rate_Mps=52.087779 claimed=1000145408
  trials=24000000000 elapsed=460.799 rate_Mps=52.083407 claimed=1000145408
  trials=25000000000 elapsed=480.037 rate_Mps=52.079317 claimed=1000145408
  trials=26000000000 elapsed=499.275 rate_Mps=52.075472 claimed=1000145408
  trials=27000000000 elapsed=518.512 rate_Mps=52.072078 claimed=1000145408
  trials=28000000000 elapsed=537.750 rate_Mps=52.068796 claimed=1000145408
  trials=29000000000 elapsed=556.987 rate_Mps=52.065862 claimed=1000145408
  trials=30000000000 elapsed=576.223 rate_Mps=52.063136 claimed=1000145408
  trials=31000000000 elapsed=595.460 rate_Mps=52.060626 claimed=1000145408
  trials=32000000000 elapsed=614.702 rate_Mps=52.057704 claimed=1000145408
  trials=33000000000 elapsed=633.932 rate_Mps=52.056049 claimed=1000145408
  trials=34000000000 elapsed=653.204 rate_Mps=52.051081 claimed=1000145408
  trials=35000000000 elapsed=672.444 rate_Mps=52.048935 claimed=1000145408
  trials=36000000000 elapsed=691.681 rate_Mps=52.047111 claimed=1000145408
  trials=37000000000 elapsed=710.920 rate_Mps=52.045246 claimed=1000145408
  trials=38000000000 elapsed=730.158 rate_Mps=52.043527 claimed=1000145408
  trials=39000000000 elapsed=749.395 rate_Mps=52.041961 claimed=1000145408
  trials=40000000000 elapsed=768.635 rate_Mps=52.040294 claimed=1000145408
  trials=41000000000 elapsed=787.873 rate_Mps=52.038872 claimed=1000145408
  trials=42000000000 elapsed=807.116 rate_Mps=52.037154 claimed=1000145408
  trials=43000000000 elapsed=826.350 rate_Mps=52.036055 claimed=1000145408
  trials=44000000000 elapsed=845.585 rate_Mps=52.034996 claimed=1000145408
  trials=45000000000 elapsed=864.822 rate_Mps=52.033826 claimed=1000145408
  trials=46000000000 elapsed=884.062 rate_Mps=52.032578 claimed=1000145408
  trials=47000000000 elapsed=903.304 rate_Mps=52.031225 claimed=1000145408
  trials=48000000000 elapsed=922.544 rate_Mps=52.030030 claimed=1000145408
  trials=49000000000 elapsed=941.782 rate_Mps=52.029041 claimed=1000145408
  trials=50000000000 elapsed=961.019 rate_Mps=52.028128 claimed=1000145408
  trials=51000000000 elapsed=980.254 rate_Mps=52.027357 claimed=1000145408
  trials=52000000000 elapsed=999.489 rate_Mps=52.026560 claimed=1000145408
  trials=53000000000 elapsed=1018.724 rate_Mps=52.025852 claimed=1000145408
  trials=54000000000 elapsed=1037.962 rate_Mps=52.025042 claimed=1000145408
  trials=55000000000 elapsed=1057.199 rate_Mps=52.024274 claimed=1000145408
  trials=56000000000 elapsed=1076.438 rate_Mps=52.023449 claimed=1000145408
  trials=57000000000 elapsed=1095.675 rate_Mps=52.022724 claimed=1000145408
  trials=58000000000 elapsed=1114.916 rate_Mps=52.021856 claimed=1000145408
  trials=59000000000 elapsed=1134.160 rate_Mps=52.020860 claimed=1000145408
  trials=60000000000 elapsed=1153.401 rate_Mps=52.020088 claimed=1000145408
