Pomerance CUDA x16halvenonsplit prototype

p = 1000000000000000000000000103
mode = x16ecoverd4probe
seed_offset = 0
seed_mode = identity
max_trials = 100000000
chunk_trials = 100000000
probe_target_depth = 24
probe_prefix_filter_depth = 8
probe_bucket_bits = 6
k = 45
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=64

  probe_trials=97748578 elapsed=73.527 rate_Mps=1.329430 target_survivors=1494 y_draws=3128056040
  probe_trials=97843816 elapsed=73.600 rate_Mps=1.329401 target_survivors=1496 y_draws=3131183334
  probe_trials=97933254 elapsed=73.669 rate_Mps=1.329377 target_survivors=1498 y_draws=3134098331
  probe_trials=98017366 elapsed=73.733 rate_Mps=1.329359 target_survivors=1500 y_draws=3136824818
  probe_trials=98097508 elapsed=73.794 rate_Mps=1.329343 target_survivors=1504 y_draws=3139435583
  probe_trials=98173522 elapsed=73.852 rate_Mps=1.329330 target_survivors=1504 y_draws=3141897588
  probe_trials=98245614 elapsed=73.907 rate_Mps=1.329310 target_survivors=1504 y_draws=3144240883
  probe_trials=98313640 elapsed=73.959 rate_Mps=1.329292 target_survivors=1508 y_draws=3146479809
  probe_trials=98377890 elapsed=74.009 rate_Mps=1.329270 target_survivors=1508 y_draws=3148586862
  probe_trials=98439666 elapsed=74.057 rate_Mps=1.329246 target_survivors=1510 y_draws=3150609229
  probe_trials=98498506 elapsed=74.102 rate_Mps=1.329227 target_survivors=1510 y_draws=3152541627
  probe_trials=98554588 elapsed=74.145 rate_Mps=1.329206 target_survivors=1510 y_draws=3154395689
  probe_trials=98608346 elapsed=74.187 rate_Mps=1.329193 target_survivors=1510 y_draws=3156153812
  probe_trials=98659594 elapsed=74.226 rate_Mps=1.329181 target_survivors=1510 y_draws=3157826628
  probe_trials=98708378 elapsed=74.264 rate_Mps=1.329164 target_survivors=1510 y_draws=3159433634
  probe_trials=98755264 elapsed=74.300 rate_Mps=1.329145 target_survivors=1510 y_draws=3160984412
